Job Title,Salary Estimate,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Easy Apply,Company Age,Min Salary,Max Salary,Avg Salary
"Data Analyst, Center on Immigration and Justice (CIJ)",37-66 ,3.2,Vera Institute of Justice,"New York, NY","New York, NY",201 to 500 employees,1961,Nonprofit Organization,Social Assistance,Non-Profit,$100 to $500 million (USD),-1,TRUE,65.0,37.0,66,51.5
Quality Data Analyst,37-66 ,3.8,Visiting Nurse Service of New York,"New York, NY","New York, NY",10000+ employees,1893,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD),-1,-1,133.0,37.0,66,51.5
"Senior Data Analyst, Insights & Analytics Team [Customer Operations]",37-66 ,3.4,Squarespace,"New York, NY","New York, NY",1001 to 5000 employees,2003,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,GoDaddy,-1,23.0,37.0,66,51.5
Data Analyst,37-66 ,4.1,Celerity,"New York, NY","McLean, VA",201 to 500 employees,2002,Subsidiary or Business Segment,IT Services,Information Technology,$50 to $100 million (USD),-1,-1,24.0,37.0,66,51.5
Reporting Data Analyst,37-66 ,3.9,FanDuel,"New York, NY","New York, NY",501 to 1000 employees,2009,Company - Private,Sports & Recreation,"Arts, Entertainment & Recreation",$100 to $500 million (USD),DraftKings,TRUE,17.0,37.0,66,51.5
Data Analyst,37-66 ,3.9,Point72,"New York, NY","Stamford, CT",1001 to 5000 employees,2014,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,-1,-1,12.0,37.0,66,51.5
Business/Data Analyst (FP&A),37-66 ,4.4,Two Sigma,"New York, NY","New York, NY",1001 to 5000 employees,2001,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,-1,-1,25.0,37.0,66,51.5
Data Science Analyst,37-66 ,3.7,GNY Insurance Companies,"New York, NY","New York, NY",201 to 500 employees,1914,Company - Private,Insurance Carriers,Insurance,$100 to $500 million (USD),"Travelers, Chubb, Crum & Forster",TRUE,112.0,37.0,66,51.5
Data Analyst,37-66 ,4.0,DMGT,"New York, NY","London, United Kingdom",5001 to 10000 employees,1896,Company - Public,Venture Capital & Private Equity,Finance,$1 to $2 billion (USD),"Thomson Reuters, Hearst, Pearson",-1,130.0,37.0,66,51.5
"Data Analyst, Merchant Health",37-66 ,4.4,Riskified,"New York, NY","New York, NY",501 to 1000 employees,2013,Company - Private,Research & Development,Business Services,Unknown / Non-Applicable,"Signifyd, Forter",-1,13.0,37.0,66,51.5
Data Analyst,37-66 ,4.0,NYU Langone Health,"New York, NY","New York, NY",10000+ employees,1841,Hospital,Health Care Services & Hospitals,Health Care,$5 to $10 billion (USD),"NewYork-Presbyterian Hospital, Northwell Health",-1,185.0,37.0,66,51.5
Data Analyst,37-66 ,-1.0,BulbHead,"Fairfield, NJ",-1,1 to 50 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,-1,,37.0,66,51.5
DATA ANALYST,37-66 ,3.7,Montefiore Medical,"New York, NY","Bronx, NY",10000+ employees,1884,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD),-1,-1,142.0,37.0,66,51.5
Senior Data Analyst,37-66 ,3.0,Known,"New York, NY","New York, NY",201 to 500 employees,2004,Company - Private,Advertising & Marketing,Business Services,$100 to $500 million (USD),-1,TRUE,22.0,37.0,66,51.5
Investment Advisory Data Analyst,37-66 ,3.4,Advisor Group,"Jersey City, NJ","Phoenix, AZ",1001 to 5000 employees,2016,Company - Private,Brokerage Services,Finance,$1 to $5 million (USD),-1,-1,10.0,37.0,66,51.5
Sustainability Data Analyst,37-66 ,3.6,CodeGreen Solutions,"New York, NY","New York, NY",1 to 50 employees,-1,Company - Private,Building & Personnel Services,Business Services,Unknown / Non-Applicable,-1,-1,,37.0,66,51.5
Data Analyst,37-66 ,3.8,Undertone,"New York, NY","New York, NY",201 to 500 employees,2001,Subsidiary or Business Segment,Advertising & Marketing,Business Services,Unknown / Non-Applicable,"DoubleClick, Specific Media, Collective",TRUE,25.0,37.0,66,51.5
Clinical Data Analyst,37-66 ,3.8,NYSTEC,"New York, NY","Rome, NY",51 to 200 employees,1996,Nonprofit Organization,Consulting,Business Services,$25 to $50 million (USD),"KPMG, Accenture, Deloitte",-1,30.0,37.0,66,51.5
DATA PROGRAMMER/ANALYST,37-66 ,3.9,"Education Development Center, Inc.","New York, NY","Waltham, MA",501 to 1000 employees,1958,Nonprofit Organization,Research & Development,Business Services,$100 to $500 million (USD),-1,-1,68.0,37.0,66,51.5
Data Analyst,37-66 ,4.9,Teachers Pay Teachers,"New York, NY","New York, NY",51 to 200 employees,2006,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1,-1,20.0,37.0,66,51.5
"Product Analyst, Data Science",37-66 ,4.4,Google,"New York, NY","Mountain View, CA",10000+ employees,1998,Company - Public,Internet,Information Technology,$10+ billion (USD),"Microsoft, Apple, Facebook",-1,28.0,37.0,66,51.5
Data Science Analyst,37-66 ,-1.0,MUSIC & Entertainment,"New York, NY","Marina del Rey, CA",Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable,-1,-1,,37.0,66,51.5
Data Analyst - Intex Developer,37-66 ,3.3,Macquarie Group,"New York, NY","Sydney, Australia",10000+ employees,1969,Company - Public,Investment Banking & Asset Management,Finance,$5 to $10 billion (USD),"Goldman Sachs, Commonwealth Bank of Australia, Deutsche Bank",-1,57.0,37.0,66,51.5
Data Analyst,37-66 ,3.5,Andiamo,"New York, NY","Warren, MI",201 to 500 employees,-1,Company - Private,Casual Restaurants,"Restaurants, Bars & Food Services",$1 to $5 million (USD),-1,-1,,37.0,66,51.5
Entry Level / Jr. Data Analyst,37-66 ,3.8,Dash Technologies Inc,"New York, NY","Columbus, OH",1 to 50 employees,-1,Unknown,-1,-1,Unknown / Non-Applicable,-1,-1,,37.0,66,51.5
Data Analyst,37-66 ,4.0,Hearst Communications,"New York, NY","San Francisco, CA",1 to 50 employees,-1,Company - Private,Advertising & Marketing,Business Services,Less than $1 million (USD),-1,-1,,37.0,66,51.5
Data + Business Intelligence Analyst,37-66 ,5.0,Duolingo,"New York, NY","Pittsburgh, PA",201 to 500 employees,2011,Company - Private,Internet,Information Technology,$10 to $25 million (USD),-1,-1,15.0,37.0,66,51.5
"Data Analyst, Product",37-66 ,4.8,Ro,"New York, NY","New York, NY",51 to 200 employees,2017,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1,-1,9.0,37.0,66,51.5
Data Analyst Entry Level,37-66 ,3.7,Endai,"New York, NY","New York, NY",1 to 50 employees,-1,Company - Private,Advertising & Marketing,Business Services,$1 to $5 million (USD),-1,-1,,37.0,66,51.5
